,BioScience.txt
rep,546
report,498
fish,495
sci,489
res,478
research,447
fisheries,346
biol,304
inst,252
science,249
health,244
tech,241
mar,238
rev,230
international,230
univ,227
marine,221
technical,217
sea,208
bulletin,202
bull,196
med,191
eng,189
environ,173
soc,168
acta,168
nat,159
biology,154
sciences,152
university,151
institute,150
environmental,149
grant,144
engineering,143
annu,141
ser,137
noaa,134
annual,132
food,120
water,117
int,116
entomol,112
cell,111
series,111
cent,110
plant,110
society,105
medicine,102
molecular,102
ocean,97
american,97
technol,97
review,94
mol,92
dev,92
program,90
department,88
la,87
ecol,87
drug,86
technology,86
law,85
oceanogr,85
natural,81
clinical,80
des,79
zool,79
lab,75
publ,74
applied,73
pap,73
resour,72
cancer,71
reviews,71
manage,71
national,71
dep,70
chem,70
stat,70
center,69
medical,69
development,68
bmc,68
mus,68
ecology,67
management,66
et,66
del,65
laboratory,65
appl,65
mem,64
proceedings,64
microbiol,64
exp,63
natl,62
genet,62
new,61
ann,61
current,60
inf,60
biological,59
proc,59
microbiology,59
environment,59
agric,59
stud,59
news,58
australian,58
curr,58
resources,58
toxicol,58
immunol,56
aust,56
instituto,56
erl,56
paper,55
memorandum,55
toxicology,55
immunology,55
south,54
canadian,53
indian,53
revista,52
clin,51
econ,51
experimental,51
data,50
station,50
bol,50
syst,50
fao,49
pesca,49
pacific,49
dis,49
genetics,49
reports,49
european,48
xuebao,48
policy,48
studies,48
fuer,48
physiol,47
stn,46
aquaculture,46
aquatic,46
hist,45
acad,45
serv,45
agriculture,45
fishery,44
und,44
biochem,43
physiology,43
arch,42
assoc,42
army,42
agricultural,42
trends,42
commission,42
special,41
spec,41
biotechnol,40
aquat,40
british,40
asian,40
academy,40
behav,39
japan,39
nav,39
transactions,39
oceanography,39
methods,39
invest,39
coast,38
tropical,38
cienc,38
human,38
statistics,38
pac,38
museum,38
biotechnology,38
care,37
public,37
scientific,37
coastal,37
conservation,37
naval,37
chemistry,37
bot,36
der,36
animal,36
biochemistry,35
serie,35
great,35
publication,35
pharmacology,35
aquacult,35
geol,35
trans,34
conserv,34
anim,34
service,34
vet,34
lett,34
ind,34
pharmacol,33
doc,33
letters,33
adv,33
boletin,33
information,32
african,32
centre,32
peches,32
anal,32
forest,32
state,32
advances,31
social,31
community,31
calif,31
control,31
college,30
brain,30
nature,30
oar,30
kexue,29
association,29
